input_id,model,latency_ms,input_tokens,output_tokens,cost_usd,quality_score_1to5,notes
doc_07,llama-3.1-8b (Flash-Lite),201.2,262,83,1.974e-05,5,The summary accurately captures the most important points of the original document in three distinct and concise bullets.
doc_08,llama-3.1-8b (Flash-Lite),197.7,254,81,1.918e-05,5,The summary accurately captures the most important points of the original document in three distinct and concise bullets.
doc_09,llama-3.1-8b (Flash-Lite),276.7,243,87,1.911e-05,5,The summary accurately captures the most important points from the original document in three distinct and concise bullets.
doc_10,llama-3.1-8b (Flash-Lite),315.0,274,94,2.122e-05,5,"The summary accurately captures the most important points about the history of the internet, including its origins, key inventions, and significant developments over time."
doc_11,llama-3.1-8b (Flash-Lite),487.5,258,84,1.962e-05,5,"The summary accurately captures three key points from the original document, including EV sales, battery cost reduction, and government targets for phasing out petrol and diesel car sales."
doc_12,llama-3.1-8b (Flash-Lite),589.7,256,104,2.112e-05,5,The summary accurately captures the most important points from the original document in three distinct and informative bullets.
doc_13,llama-3.1-8b (Flash-Lite),326.2,275,88,2.079e-05,5,"The summary accurately captures three distinct and important points about the James Webb Space Telescope, including its launch, capabilities, and discoveries."
doc_14,llama-3.1-8b (Flash-Lite),427.8,240,88,1.904e-05,5,The summary accurately captures the most important points from the original document in three distinct and well-worded bullets.
doc_15,llama-3.1-8b (Flash-Lite),429.3,258,119,2.242e-05,5,The summary accurately captures the most important points from the original document in three distinct and informative bullets.
doc_16,llama-3.1-8b (Flash-Lite),429.4,251,91,1.983e-05,5,The summary accurately captures the most important points from the original document in three distinct and informative bullets.
doc_17,llama-3.1-8b (Flash-Lite),328.5,255,74,1.867e-05,4,The summary is mostly good but has a minor omission of liquefied natural gas as a cleaner alternative and slow steaming as a near-term measure.
doc_18,llama-3.1-8b (Flash-Lite),217.2,263,90,2.035e-05,5,The summary accurately captures the most important points from the original document in three distinct and relevant bullets.
doc_19,llama-3.1-8b (Flash-Lite),196.1,242,82,1.866e-05,5,The summary accurately captures the most important points from the original document in three distinct and informative bullets.
doc_20,llama-3.1-8b (Flash-Lite),355.2,266,93,2.074e-05,5,"The summary accurately captures the most important points about the ISS, including its history, deorbiting plans, and commercial successors, in three distinct and informative bullets."
